┄┄┄┄┄system┄┄┄┄┬┄┄┄┄┄┄memory┄usage┄┄┄┄┄┬┄┄total┄cpu┄usage┄┄┬┄┄net/ib0┄┄ net/ens786f ┄┄┄net/lo┄┄ ┄net/total┄
      time     │ used  free  cach  avai│usr sys idl wai stl│ recv  send  recv  send  recv  send  recv  send
Jun-07 16:14:27│37.0G 52.3G  154G  212G│  0   0 100   0   0│   0     0 ┊   0     0 ┊   0     0 ┊   0     0 
Jun-07 16:16:41│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  19M  176M┊   0     0 ┊  19M  176M
Jun-07 16:16:42│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  83M  455M┊  17k   17k┊  83M  455M
Jun-07 16:16:43│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  19M  182M┊   0     0 ┊  19M  182M
Jun-07 16:16:44│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  21M  191M┊   0     0 ┊  21M  191M
Jun-07 16:16:45│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  20M  188M┊   0     0 ┊  20M  188M
Jun-07 16:16:46│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  20M  191M┊   0     0 ┊  20M  191M
Jun-07 16:16:47│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  84M  463M┊  17k   17k┊  84M  463M
Jun-07 16:16:48│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  21M  195M┊   0     0 ┊  21M  195M
Jun-07 16:16:49│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  21M  197M┊   0     0 ┊  21M  197M
Jun-07 16:16:50│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  20M  193M┊   0     0 ┊  20M  193M
Jun-07 16:16:51│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  61M  235M┊  17k   17k┊  61M  235M
Jun-07 16:16:52│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  46M  427M┊   0     0 ┊  46M  427M
Jun-07 16:16:53│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  22M  204M┊   0     0 ┊  22M  204M
Jun-07 16:16:54│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  20M  189M┊   0     0 ┊  20M  189M
Jun-07 16:16:55│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  22M  206M┊   0     0 ┊  22M  206M
Jun-07 16:16:56│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  65M  272M┊  17k   17k┊  65M  272M
Jun-07 16:16:57│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  43M  404M┊   0     0 ┊  43M  404M
Jun-07 16:16:58│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  21M  195M┊   0     0 ┊  21M  195M
Jun-07 16:16:59│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  22M  202M┊   0     0 ┊  22M  202M
Jun-07 16:17:00│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  21M  197M┊   0     0 ┊  21M  197M
Jun-07 16:17:01│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  72M  333M┊  17k   17k┊  72M  333M
Jun-07 16:17:02│36.9G 52.3G  154G  212G│  1   2  97   0   0│   0     0 ┊  38M  357M┊   0     0 ┊  38M  357M
Jun-07 16:17:03│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  22M  206M┊   0     0 ┊  22M  206M
Jun-07 16:17:04│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  22M  208M┊   0     0 ┊  22M  208M
Jun-07 16:17:05│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  22M  203M┊   0     0 ┊  22M  203M
Jun-07 16:17:06│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  81M  403M┊  17k   17k┊  81M  403M
Jun-07 16:17:07│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  32M  303M┊   0     0 ┊  32M  303M
Jun-07 16:17:08│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  24M  222M┊   0     0 ┊  24M  222M
Jun-07 16:17:09│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  22M  203M┊   0     0 ┊  22M  203M
Jun-07 16:17:10│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  23M  219M┊   0     0 ┊  23M  219M
Jun-07 16:17:11│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  86M  447M┊  17k   17k┊  86M  447M
Jun-07 16:17:12│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  28M  267M┊   0     0 ┊  28M  267M
Jun-07 16:17:13│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  22M  206M┊   0     0 ┊  22M  206M
Jun-07 16:17:14│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  23M  216M┊   0     0 ┊  23M  216M
Jun-07 16:17:15│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  22M  206M┊   0     0 ┊  22M  206M
Jun-07 16:17:16│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  94M  518M┊  17k   17k┊  94M  518M
Jun-07 16:17:17│37.0G 52.3G  154G  212G│  2   1  97   0   0│   0     0 ┊  23M  220M┊   0     0 ┊  23M  220M
Jun-07 16:17:18│37.0G 52.3G  154G  212G│  2   0  98   0   0│   0     0 ┊  23M  218M┊   0     0 ┊  23M  218M
Jun-07 16:17:19│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊  23M  218M┊   0     0 ┊  23M  218M
Jun-07 16:17:20│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊  23M  215M┊   0     0 ┊  23M  215M
Jun-07 16:17:21│36.9G 52.3G  154G  212G│  2   1  97   0   0│   0     0 ┊  97M  541M┊  17k   17k┊  98M  541M
Jun-07 16:17:22│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  24M  228M┊   0     0 ┊  24M  228M
Jun-07 16:17:23│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  26M  238M┊   0     0 ┊  26M  238M
Jun-07 16:17:24│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  23M  223M┊   0     0 ┊  23M  223M
