┄┄┄┄┄system┄┄┄┄┬┄┄┄┄┄┄memory┄usage┄┄┄┄┄┬┄┄total┄cpu┄usage┄┄┬┄┄net/ib0┄┄ ┄┄┄net/lo┄┄ ┄net/total┄
      time     │ used  free  cach  avai│usr sys idl wai stl│ recv  send  recv  send  recv  send
Jul-08 11:30:16│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 496M 5151M┊   0     0 ┊ 496M 5151M
Jul-08 11:30:17│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 566M 5209M┊   0     0 ┊ 566M 5209M
Jul-08 11:30:18│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 496M 5167M┊   0     0 ┊ 496M 5167M
Jul-08 11:30:19│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 566M 5244M┊   0     0 ┊ 566M 5244M
Jul-08 11:30:20│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 496M 5108M┊   0     0 ┊ 496M 5108M
Jul-08 11:30:21│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 566M 5201M┊   0     0 ┊ 566M 5201M
Jul-08 11:30:22│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 496M 5186M┊   0     0 ┊ 496M 5186M
Jul-08 11:30:23│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 566M 5207M┊   0     0 ┊ 566M 5207M
Jul-08 11:30:24│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 496M 5175M┊   0     0 ┊ 496M 5175M
Jul-08 11:30:25│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 566M 5175M┊   0     0 ┊ 566M 5175M
Jul-08 11:30:26│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 496M 5175M┊   0     0 ┊ 496M 5175M
Jul-08 11:30:27│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 566M 5176M┊   0     0 ┊ 566M 5176M
Jul-08 11:30:28│36.2G 42.4G  170G  213G│  2   1  97   0   0│3997M 6893M┊3520b 3520b┊3997M 6893M
Jul-08 11:30:29│36.3G 42.4G  170G  213G│  1   1  97   0   0│5392M   16G┊2224b 2224b┊5392M   16G
Jul-08 11:30:30│36.3G 42.4G  170G  213G│  1   2  97   0   0│1964M   19G┊   0     0 ┊1964M   19G
Jul-08 11:30:31│36.2G 42.4G  170G  213G│  1   1  97   0   0│1862M   19G┊   0     0 ┊1862M   19G
Jul-08 11:30:32│36.3G 42.4G  170G  213G│  1   2  96   0   0│1992M   19G┊   0     0 ┊1992M   19G
Jul-08 11:30:33│36.2G 42.4G  170G  213G│  2   1  98   0   0│1275M   13G┊2240b 2240b┊1275M   13G
Jul-08 11:30:34│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5281M┊   0     0 ┊ 558M 5281M
